year,Brand,Car_Price,Location,Mileage,Type
2023,مرسيدس بنز سي 180 2023,"EGP 3,250,000","5th Settlement, New Cairo•",5000 km,Benzine
2025,Audi Q7 2025 sline اودي كيو ٧ اقل سعر ف مصر,"EGP 5,300,000","New Cairo, Cairo•",New,Benzine
2025,Baic BJ30 2025 بايك,"EGP 1,690,000","Nasr City, Cairo•",New,Benzine
2025,Peugeot 3008 2025 زيرو,"EGP 1,695,000","New Cairo, Cairo•",New,Benzine
2024,Mercedes-Benz EQE 350 2024,"EGP 3,900,000","Heliopolis, Cairo•",New,Electric
2025,BYD SONG Plus  Smart Drive Champion 2025 ( استيراد من الخارج ),"EGP 1,784,000","Sheikh Zayed, Giza•",New,Electric
2023,Mercedes-Benz C180 2023 مرسيدس بينز سي AMG,"EGP 3,500,000","New Cairo, Cairo•",25000 km,Benzine
2015,Mercedes-Benz E200 2015,"EGP 2,250,000","Mahalla al-Kobra, Gharbia•",145000 km,Benzine
2026,ام جى ام جي 5 2026MG,"EGP 960,000","Nasr City, Cairo•",New,Benzine
2025,Mercedes-Benz GLC 300 Coupe AMG 2025,"EGP 5,950,000","New Zayed, Sheikh Zayed•",New,Benzine
2010,فورد مونديو 2010,"EGP 480,000","Obour City, Cairo•",124000 km,Benzine
2026,Chery Tiggo 7 2026,"EGP 1,020,000","Nasr City, Cairo•",New,Benzine
2021,TOYOTA LAND GRUISER VXR - GRAND TOURING S 2021 CC4000 V6 IMPORT OMAN,"EGP 6,750,000","New Nozha, Cairo•",40000 km,Benzine
2025,شيرى تيجو 7 2025 Chery Tiggo 7,"EGP 1,030,000","Madinaty, Cairo•",New,Benzine
2025,ام جى زد إس 2025 MG ZS,"EGP 1,070,000","Nasr City, Cairo•",New,Benzine
2022,سيتروين سى - إيليزيه موديل 2022 تقسيط Citroen c elysee,"EGP 670,000","Maadi, Cairo•",80000 km,Benzine
2022,MG 6 2022,"EGP 975,000","Rehab City Compound, New Cairo•",42000 km,Benzine
1999,Ford Fiesta 1999,"EGP 130,000","Badr City, Cairo•",200000 km,Benzine
2025,شيرى تيجو 7 2025 Chery tiggo7,"EGP 1,070,000","Heliopolis, Cairo•",4000 km,Benzine
2018,مرسيدس بنز سي 180 2018 Mercedes -  Benz   C180 -  AMG 2018 30000 KM,"EGP 2,600,000","Madinaty, Cairo•",30000 km,Benzine
2025,Mercedes-Benz C200 AMG 2024,"EGP 4,300,000","New Cairo, Cairo•",New,Benzine
2012,بى واى دى اف 3 2012,"EGP 220,000","Fayoum City, Fayoum•",4255 km,Benzine
2021,أوبل كروس لاند 2021 Opel Crossland 2021,"EGP 830,000","New Cairo, Cairo•",120000 km,Benzine
2025,Audi Q8 S Line Plus 2025,"EGP 7,600,000","New Cairo, Cairo•",New,Benzine
2026,شيرى تيجو 7 2026 Chery Tiggo 7,"EGP 1,015,000","Nasr City, Cairo•",New,Benzine
2021,نيسان جوك 2021 Nissan Juke 2021,"EGP 860,000","New Cairo, Cairo•",131000 km,Benzine
2025,ام جى زد إس 2025 جميع الألوان استلام فوري,"EGP 1,075,000","Nasr City, Cairo•",New,Benzine
2024,Fiat Tipo 2024,"EGP 795,000","Nasr City, Cairo•",New,Benzine
2021,رينو كادجار 2021  أعلى فئة  Signature Renault Kardian,"EGP 1,150,000","New Cairo, Cairo•",80000 km,Benzine
2007,تويوتا ياريس 2007,"EGP 395,000","Heliopolis, Cairo•",300000 km,Benzine
2023,سانج يونج توريس 2023 - T7 أعلى فئة  استلام فوري,"EGP 1,800,000","6th of October, Giza•",20000 km,Benzine
2021,عربيه jeep للبيع اول مالك دفع رباعي,"EGP 1,250,000","5th Settlement, New Cairo•",89000 km,Benzine
2020,c200 exclusive 2000cc 80 km,"EGP 2,650,000","Zagazig, Sharqia•",95000 km,Benzine
2019,Land Rover Range Rover Sport 2019,"EGP 5,350,000","Nasr City, Cairo•",57000 km,Benzine
2023,فولكسفاغن جولف 2023 فولكس فاجن - جولف 8  R Line . . 2023  1500cc  turbo,"EGP 1,950,000","Madinaty, Cairo•",34000 km,Benzine
2020,Chevrolet Captiva 2020,"EGP 850,000","Agouza, Giza•",170 km,Benzine
2025,Audi Q3 2025 اودي,"EGP 2,925,000","New Cairo, Cairo•",New,Benzine
2024,BMW X2 S20I  M-Sport Fully loaded Pro تقسيط بدون فوايد,"EGP 3,650,000","Mohandessin, Giza•",New,Benzine
2020,Opel Insignia 2020 اكسكلوسف,"EGP 1,600,000","Mahalla al-Kobra, Gharbia•",48000 km,Benzine
2026,Chery Arrizo 5 2026,"EGP 740,000","Nasr City, Cairo•",New,Benzine
2016,مرسيدس بنز سي 180 2016,"EGP 1,900,000","Sidi Beshr, Alexandria•",143000 km,Benzine
2025,Hyundai Tucson 2025 with the best installment offers,"EGP 1,660,000","Nasr City, Cairo•",New,Benzine
